demo_indx,prefix_type,layer_indx,head_indx,cfs_lab_same,cfs_lab,cfs_prec_lab_same,cfs_prec_lab,cfs_lab_ratio,cfs_prec_lab_ratio,cfs_lab_prime,cfs_prec_lab_prime
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
